share_files_nums,share_files_rate,only_commit_files_nums,exist_cve,insert_loc_nums,delete_loc_nums,all_loc_nums,all_method_nums,commit_msg,cve_desc,commit_id,is_right
0,0,4,0,16,1,17,3,new: add setting for allowing svg org logos,An issue was discovered in MISP before 2.4.156. An SVG org logo (which may contain JavaScript) is not forbidden by default.,08a07a38ae81f3b55d81cfcd4501ac1eb1c9c4dc,1
1,1,0,0,2,1,3,0,"fix: [security] lfi via custom terms file setting, as reported by Ianis BERNARD - NATO Cyber Security Centre",An issue was discovered in MISP before 2.4.156. app/View/Users/terms.ctp allows Local File Inclusion via the custom terms file setting.,8cc93687dcd68e1774b55a5c4e8125c0c8ddc288,1
0,0,2,0,2,2,4,0,"fix: [security] stored XSS in the user add/edit forms

- a malicious site administrator could store an XSS payload in the custom auth name which would be executed each time the administrator modifies a user

- as reported by Ianis BERNARD - NATO Cyber Security Centre",An issue was discovered in MISP before 2.4.156. A malicious site administrator could store an XSS payload in the custom auth name. This would be executed each time the administrator modifies a user.,61d4d3670593b78e4dab7a11eb620b7a372f30e6,1
1,1,0,0,2,1,3,1,"fix: [security] restrict setting to cli only. enabling this setting could allow potential ssrf attacks, as reported by Ianis BERNARD - NATO Cyber Security Centre",An issue was discovered in MISP before 2.4.156. app/Model/Server.php does not restrict generateServerSettings to the CLI. This could lead to SSRF.,8dcf414340c5ddedfebbc972601646d38e1d0717,1
1,1,0,0,1,1,2,0,security: fix stored xss in sharing groups view as reported by Nicolas Vidal from TEHTRIS.,app/View/SharingGroups/view.ctp in MISP before 2.4.146 allows stored XSS in the sharing groups view.,01521d614cb578de75a406394b4f0426f6036ba7,1
1,1,0,0,38,32,70,10,"http: make length/offset-related variables unsigned.

Fixes #5992, reported and found by Paul Cher <paulcher@icloud.com>.","Heap-based buffer overflow in libavformat/http.c in FFmpeg before 2.8.10, 3.0.x before 3.0.5, 3.1.x before 3.1.6, and 3.2.x before 3.2.2 allows remote web servers to execute arbitrary code via a negative chunk size in an HTTP response.",2a05c8f813de6f2278827734bf8102291e7484aa,1
1,1,0,0,8,0,8,1,"avformat/rtmppkt: Check for packet size mismatches

Fixes out of array access

Found-by: Paul Cher <paulcher@icloud.com>
Reviewed-by: Paul Cher <paulcher@icloud.com>
Signed-off-by: Michael Niedermayer <michael@niedermayer.cc>","Heap-based buffer overflow in libavformat/rtmppkt.c in FFmpeg before 2.8.10, 3.0.x before 3.0.5, 3.1.x before 3.1.6, and 3.2.x before 3.2.2 allows remote attackers to execute arbitrary code by leveraging failure to check for RTMP packet size mismatches.",7d57ca4d9a75562fa32e40766211de150f8b3ee7,1
1,1,0,0,4,1,5,1,"ffserver: Check chunk size

Fixes out of array access

Fixes: poc_ffserver.py
Found-by: Paul Cher <paulcher@icloud.com>
Signed-off-by: Michael Niedermayer <michael@niedermayer.cc>","Heap-based buffer overflow in ffserver.c in FFmpeg before 2.8.10, 3.0.x before 3.0.5, 3.1.x before 3.1.6, and 3.2.x before 3.2.2 allows remote attackers to execute arbitrary code by leveraging failure to check chunk size.",a5d25faa3f4b18dac737fdb35d0dd68eb0dc2156,1
0,0,1,0,3,0,3,1,Fix crash in anal.avr,The _inst__lds() function in radare2 2.5.0 allows remote attackers to cause a denial of service (heap-based out-of-bounds read and application crash) via a crafted binary file.,041e53cab7ca33481ae45ecd65ad596976d78e68,1
0,0,2,0,6,2,8,2,Fix #9904 - crash in r2_hoobr_r_read_le32 (over 9000 entrypoints) and read_le oobread (#9923),The r_read_le32() function in radare2 2.5.0 allows remote attackers to cause a denial of service (heap-based out-of-bounds read and application crash) via a crafted ELF file.,1f37c04f2a762500222dda2459e6a04646feeedf,1
0,0,1,0,1,1,2,1,Fix invalid free in RAnal.avr,The avr_op_analyze() function in radare2 2.5.0 allows remote attackers to cause a denial of service (heap-based out-of-bounds read and application crash) via a crafted binary file.,25a3703ef2e015bbe1d1f16f6b2f63bb10dd34f4,1
0,0,1,0,3,0,3,1,Fix oobread in avr,The avr_op_analyze() function in radare2 2.5.0 allows remote attackers to cause a denial of service (heap-based out-of-bounds read and application crash) via a crafted binary file.,b35530fa0681b27eba084de5527037ebfb397422,1
1,1,0,0,11,5,16,1,Fix #9969 - Stack overflow in wasm disassembler,The wasm_dis() function in libr/asm/arch/wasm/wasm.c in or possibly have unspecified other impact via a crafted WASM file.,bd276ef2fd8ac3401e65be7c126a43175ccfbcd7,1
0,0,1,0,12,5,17,2,Fix crash in pe,The get_debug_info() function in radare2 2.5.0 allows remote attackers to cause a denial of service (heap-based out-of-bounds read and application crash) via a crafted PE file.,4e1cf0d3e6f6fe2552a269def0af1cd2403e266c,1
0,0,1,0,11,5,16,3,Fix #9970 - heap oobread in mach0 parser (#10026),The parse_import_ptr() function in radare2 2.5.0 allows remote attackers to cause a denial of service (heap-based out-of-bounds read and application crash) via a crafted Mach-O file.,60208765887f5f008b3b9a883f3addc8bdb9c134,1
0,0,1,0,5,4,9,1,Fix #9902 - Fix oobread in RBin.string_scan_range,The string_scan_range() function in radare2 2.5.0 allows remote attackers to cause a denial of service (heap-based out-of-bounds read and application crash) via a crafted binary file.,3fcf41ed96ffa25b38029449520c8d0a198745f3,1
0,0,1,0,3,0,3,1,Fix #10091 - crash in AVR analysis,The _inst__sts() function in radare2 2.5.0 allows remote attackers to cause a denial of service (heap-based out-of-bounds read and application crash) via a crafted binary file.,d04c78773f6959bcb427453f8e5b9824d5ba9eff,1
0,0,2,0,3,2,5,2,Fix #9943 - Invalid free on RAnal.avr,The r_strbuf_fini() function in radare2 2.5.0 allows remote attackers to cause a denial of service (invalid free and application crash) via a crafted ELF file because of an uninitialized variable in the CPSE handler in libr/anal/p/anal_avr.c.,9d348bcc2c4bbd3805e7eec97b594be9febbdf9a,1
0,0,1,0,2,1,3,1,Fix #9903 - oobread in RAnal.sh,The sh_op() function in radare2 2.5.0 allows remote attackers to cause a denial of service (heap-based out-of-bounds read and application crash) via a crafted ELF file.,77c47cf873dd55b396da60baa2ca83bbd39e4add,1
1,1,0,0,9,2,11,0,"fix: Reflected XSS via the event view

- users arriving on an event view via a malicious URL with a javascript payload and then clicking on the show deleted attributes tab would trigger the payload

- as reported by Jarek Kozluk from zbp.pl",An issue was discovered in MISP 2.4.91. A vulnerability in app/View/Elements/eventattribute.ctp allows reflected XSS if a user clicks on a malicious link for an event view and then clicks on the deleted attributes quick filter.,10080096879d1076756f62760d6daf582b6db722,1
1,1,0,0,3,0,3,1,"Should not call `initialize_copy` for `TT_ICLASS`; fix #4027

Since `TT_ICLASS` is a internal object that should never be revealed
to Ruby world.","The init_copy function in kernel.c in mruby 1.4.1 makes initialize_copy calls for TT_ICLASS objects, which allows attackers to cause a denial of service (mrb_hash_keys uninitialized pointer and application crash) or possibly have unspecified other impact.",b64ce17852b180dfeea81cf458660be41a78974d,1
0,0,0,1,2,2,4,0,"Merge pull request #1438 from michaellrowley/security-patch

CVE-2021-3678 Patch",showdoc is vulnerable to Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG),4b962c1740311e0d46775023b6acba39ad60e370,1
0,0,0,0,2,2,4,0,"Merge pull request #1438 from michaellrowley/security-patch

CVE-2021-3678 Patch",showdoc is vulnerable to Missing Cryptographic Step,4b962c1740311e0d46775023b6acba39ad60e370,1
0,0,1,0,16,5,21,1,Strict cookie,showdoc is vulnerable to Cross-Site Request Forgery (CSRF),67093c879a6563aa6ee08003177777d1975e2351,1
1,1,0,0,5,1,6,1,Fix #10293 - Use-after-free in r_anal_bb_free(),There is a use after free in radare2 2.6.0 in r_anal_bb_free() in libr/anal/bb.c via a crafted Java binary file.,90b71c017a7fa9732fe45fd21b245ee051b1f548,1
1,1,0,0,3,3,6,1,Fix #10296 - Heap out of bounds read in java_switch_op(),There is a heap out of bounds read in radare2 2.6.0 in java_switch_op() in libr/anal/p/anal_java.c via a crafted Java binary file.,224e6bc13fa353dd3b7f7a2334588f1c4229e58d,1
1,1,0,0,9,3,12,1,Fix #10294 - crash in r2_hoobr__6502_op,There is a heap out of bounds read in radare2 2.6.0 in _6502_op() in libr/anal/p/anal_6502.c via a crafted iNES ROM binary file.,bbb4af56003c1afdad67af0c4339267ca38b1017,1
1,1,0,0,1,1,2,1,"avcodec/mpeg4videoenc: Use 64 bit for times in mpeg4_encode_gop_header()

Fixes truncation
Fixes Assertion n <= 31 && value < (1U << n) failed at libavcodec/put_bits.h:169
Fixes: ffmpeg_crash_2.avi

Found-by: Thuan Pham <thuanpv@comp.nus.edu.sg>, Marcel B?hme, Andrew Santosa and Alexandru RazvanCaciulescu with AFLSmart

Signed-off-by: Michael Niedermayer <michael@niedermayer.cc>","An improper integer type in the mpeg4_encode_gop_header function in libavcodec/mpeg4videoenc.c in FFmpeg 2.8 and 4.0 may trigger an assertion violation while converting a crafted AVI file to MPEG4, leading to a denial of service.",e1182fac1afba92a4975917823a5f644bee7e6e8,1
1,1,0,0,6,0,6,1,"avcodec/mpeg4videodec: Clear bits_per_raw_sample if it has originated from a previous instance

Fixes: assertion failure
Fixes: ffmpeg_crash_5.avi

Found-by: Thuan Pham <thuanpv@comp.nus.edu.sg>, Marcel B?hme, Andrew Santosa and Alexandru Razvan Caciulescu with AFLSmart
Signed-off-by: Michael Niedermayer <michael@niedermayer.cc>","An inconsistent bits-per-sample value in the ff_mpeg4_decode_picture_header function in libavcodec/mpeg4videodec.c in FFmpeg 4.0 may trigger an assertion violation while converting a crafted AVI file to MPEG4, leading to a denial of service.",2fc108f60f98cd00813418a8754a46476b404a3c,1
1,0.33,2,0,5,1,6,2,"avcodec/idctdsp: Transmit studio_profile to init instead of using AVCodecContext profile

These 2 fields are not always the same, it is simpler to always use the same field
for detecting studio profile

Fixes: null pointer dereference
Fixes: ffmpeg_crash_3.avi

Found-by: Thuan Pham <thuanpv@comp.nus.edu.sg>, Marcel B?hme, Andrew Santosa and Alexandru RazvanCaciulescu with AFLSmart
Signed-off-by: Michael Niedermayer <michael@niedermayer.cc>","libavcodec in FFmpeg 4.0 may trigger a NULL pointer dereference if the studio profile is incorrectly detected while converting a crafted AVI file to MPEG4, leading to a denial of service, related to idctdsp.c and mpegvideo.c.",b3332a182f8ba33a34542e4a0370f38b914ccf7d,1
1,0.5,1,1,2,2,4,2,"Fix crash in dtls1_get_record whilst in the listen state where you get two
separate reads performed - one for the header and one for the body of the
handshake record.

CVE-2014-3571

Reviewed-by: Matt Caswell <matt@openssl.org>","OpenSSL before 0.9.8zd, 1.0.0 before 1.0.0p, and 1.0.1 before 1.0.1k allows remote attackers to cause a denial of service (NULL pointer dereference and application crash) via a crafted DTLS message that is processed with a different read operation for the handshake header than for the handshake body, related to the dtls1_get_record function in d1_pkt.c and the ssl3_read_n function in s3_pkt.c.",feba02f3919495e1b960c33ba849e10e77d0785d,1
1,1,0,1,2,1,3,1,"Follow on from CVE-2014-3571. This fixes the code that was the original source
of the crash due to p being NULL. Steve's fix prevents this situation from
occuring - however this is by no means obvious by looking at the code for
dtls1_get_record. This fix just makes things look a bit more sane.

Reviewed-by: Dr Stephen Henson <steve@openssl.org>","OpenSSL before 0.9.8zd, 1.0.0 before 1.0.0p, and 1.0.1 before 1.0.1k allows remote attackers to cause a denial of service (NULL pointer dereference and application crash) via a crafted DTLS message that is processed with a different read operation for the handshake header than for the handshake body, related to the dtls1_get_record function in d1_pkt.c and the ssl3_read_n function in s3_pkt.c.",248385c606620b29ecc96ca9d3603463f879652b,1
1,0.5,1,1,22,3,25,1,"ECDH downgrade bug fix.

Fix bug where an OpenSSL client would accept a handshake using an
ephemeral ECDH ciphersuites with the server key exchange message omitted.

Thanks to Karthikeyan Bhargavan for reporting this issue.

CVE-2014-3572
Reviewed-by: Matt Caswell <matt@openssl.org>","The ssl3_get_key_exchange function in s3_clnt.c in OpenSSL before 0.9.8zd, 1.0.0 before 1.0.0p, and 1.0.1 before 1.0.1k allows remote SSL servers to conduct ECDHE-to-ECDH downgrade attacks and trigger a loss of forward secrecy by omitting the ServerKeyExchange message.",b15f8769644b00ef7283521593360b7b2135cb63,1
0,0,4,1,379,676,1055,9,"Fix for CVE-2014-3570 (with minor bn_asm.c revamp).

Reviewed-by: Emilia Kasper <emilia@openssl.org>","The BN_sqr implementation in OpenSSL before 0.9.8zd, 1.0.0 before 1.0.0p, and 1.0.1 before 1.0.1k does not properly calculate the square of a BIGNUM value, which might make it easier for remote attackers to defeat cryptographic protection mechanisms via unspecified vectors, related to crypto/bn/asm/mips.pl, crypto/bn/asm/x86_64-gcc.c, and crypto/bn/bn_asm.c.",a7a44ba55cb4f884c6bc9ceac90072dea38e66d0,1
0,0,1,0,2,2,4,1,update,Cross-site Scripting (XSS) - Stored in GitHub repository microweber/microweber prior to 1.3.1.,60eef7494211d1c458228c321e986edeaa401a58,1
1,1,0,0,6,6,12,0,"fix: [security] Brute force protection can be bypased with a PUT request

- fixes an issue where brute forcing the login would work by using PUT requests
- as reported by Silver Saks from CCDCOE","An issue was discovered in app/Controller/UsersController.php in MISP 2.4.92. An adversary can bypass the brute-force protection by using a PUT HTTP method instead of a POST HTTP method in the login part, because this protection was only covering POST requests.",6ffacc1e239930e0e8464d0ca16e432e26cf36a9,1
1,1,0,0,1,1,2,1,"Allow `Object#clone` to copy frozen status only; fix #4036

Copying all flags from the original object may overwrite the clone's
flags e.g. the embedded flag.","An issue was discovered in mruby 1.4.1. There is a NULL pointer dereference in mrb_class, related to certain .clone usage, because mrb_obj_clone in kernel.c copies flags other than the MRB_FLAG_IS_FROZEN flag (e.g., the embedded flag).",55edae0226409de25e59922807cb09acb45731a2,1
1,1,0,0,9,9,18,1,Extend stack when pushing arguments that does not fit in; fix #4038,An issue was discovered in mruby 1.4.1. There is a heap-based buffer over-read associated with OP_ENTER because mrbgems/mruby-fiber/src/fiber.c does not extend the stack in cases of many arguments to fiber.,778500563a9f7ceba996937dc886bd8cde29b42b,1
1,1,0,0,2,2,4,1,`mrb_class_real()` did not work for `BasicObject`; fix #4037,An issue was discovered in mruby 1.4.1. There is a NULL pointer dereference in mrb_class_real because "class BasicObject" is not properly supported in class.c.,faa4eaf6803bd11669bc324b4c34e7162286bfa3,1
1,1,0,0,2,2,4,0,"fix: [security] Stored XSS when viewing galaxy cluster relationships
- As reported by Dawid Czarnecki",app/View/Elements/GalaxyClusters/view_relation_tree.ctp in MISP 2.4.147 allows Stored XSS when viewing galaxy cluster relationships.,af50add82433eb2a740c3621b99d9d14d2b1e192,1
1,1,0,0,1,1,2,0,fix: [security] Stored XSS when viewing galaxy cluster elements in JSON format,app/View/GalaxyElements/ajax/index.ctp in MISP 2.4.147 allows Stored XSS when viewing galaxy cluster elements in JSON format.,f318f7c0ddac7dfd2b1f246fd8f488d9dfc3a4bf,1
0,0,1,0,16,5,21,1,Strict cookie,showdoc is vulnerable to Cross-Site Request Forgery (CSRF),67093c879a6563aa6ee08003177777d1975e2351,1
0,0,1,0,16,5,21,1,Strict cookie,showdoc is vulnerable to Cross-Site Request Forgery (CSRF),67093c879a6563aa6ee08003177777d1975e2351,1
1,1,0,0,1,1,2,0,"fix: [security] Stored XSS when forking a galaxy cluster
As reported by Giuseppe Diego Gianni",app/View/GalaxyClusters/add.ctp in MISP 2.4.146 allows Stored XSS when forking a galaxy cluster.,78edbbca64a1edc4390560cc106d0d418064355d,1
0,0,1,0,2,0,2,1,https://github.com/ImageMagick/ImageMagick/issues/4988,ImageMagick 7.1.0-27 is vulnerable to Buffer Overflow.,ca3654ebf7a439dc736f56f083c9aa98e4464b7f,1
0,0,12,0,91,27,118,7,"bug fix and php8.1 fixes (#5664)

* bug fix and php8.1 fixes

* styling",Improper Access Control in GitHub repository openemr/openemr prior to 7.0.0.1.,c5d99452c173ef21a8e2241e2bbf4b66e2d7fe11,1
1,1,0,0,3,3,6,1,Check length of env stack before accessing upvar; fix #3995,"In versions of mruby up to and including 1.4.0, an integer overflow exists in src/vm.c::mrb_vm_exec() when handling OP_GETUPVAR in the presence of deep scope nesting, resulting in a use-after-free. An attacker that can cause Ruby code to be run can use this to possibly execute arbitrary code.",1905091634a6a2925c911484434448e568330626,1
1,1,0,0,1,1,2,1,"Fix `use after free in File#initilialize_copy`; fix #4001

The bug and the fix were reported by https://hackerone.com/pnoltof","In versions of mruby up to and including 1.4.0, a use-after-free vulnerability exists in src/io.c::File#initilialize_copy(). An attacker that can cause Ruby code to be run can possibly use this to execute arbitrary code.",b51b21fc63c9805862322551387d9036f2b63433,1
0,0,3,0,256,252,508,11,"fix: [security] Sanitise paths for several file interactions

- remove :// anywhere we don't expect a protocol to be supplied
- remove phar:// in certauth plugin's fetcher

- as reported by Dawid Czarnecki of Zigrin Security",An issue was discovered in MISP before 2.4.158. PHAR deserialization can occur.,93821c0de6a7dd32262ce62212773f43136ca66e,1
0,0,1,0,3,0,3,1,"fix: [security] unregister phar from stream wrappers globally for all Model code

- blanket protection against phar deserialization vulnerabilities

- as reported by Dawid Czarnecki of Zigrin Security",An issue was discovered in MISP before 2.4.158. PHAR deserialization can occur.,0108f1bde2117ac5c1e28d124128f60c8bb09a8e,1
0,0,1,0,6,3,9,0,"fix: [security] XSS in LinOTP login field fixed

- fixed a stored XSS in the LinOTP login
- also fixed invalid calls to check MISP settings from a javascript scope

- as reported by Dawid Czarnecki of Zigrin Security",An issue was discovered in MISP before 2.4.158. There is stored XSS via the LinOTP login field.,9623de2f5cca011afc581d55cfa5ce87682894fd,1
0,0,1,0,1,1,2,0,"fix: [security] XSS in galaxy clusters

- fixed a stored XSS in the galaxy clusters

- as reported by Dawid Czarnecki of Zigrin Security on behalf of the Luxembourg Army",An issue was discovered in MISP before 2.4.158. There is stored XSS in the galaxy clusters.,107e271d78c255d658ce998285fe6f6c4f291b41,1
0,0,2,0,370,370,740,25,"fix: [security] stored XSS fixed in event graph

- unsanitised javascript insertion of tag name in the filters

- as reported by Dawid Czarnecki of Zigrin Security on behalf of the Luxembourg Army",An issue was discovered in MISP before 2.4.158. There is stored XSS in the event graph via a tag name.,bb3b7a7e91862742cae228c43b3091bad476dcc0,1
0,0,1,0,5,0,5,0,"fix: [security] XSS in cerebrate view

- low probability XSS in the cerebrate view's URL field
- a malicious administrator could set a javascript: url
- another administrator would have to click the suspicious looking URL to be affected

- As reported by Dawid Czarnecki of Zigrin Security on behalf of the Luxembourg Army","An issue was discovered in MISP before 2.4.158. There is XSS in the cerebrate view if one administrator puts a javascript: URL in the URL field, and another administrator clicks on it.",60c85b80e3ab05c3ef015bca5630e95eddbb1436,1
1,1,0,0,1,1,2,1,"fix: [security] low probability reflected XSS fixed

- User would need to navigate to a url that contains the payload
- user needs to click on a checkbox in a weird single checkbox page to trigger the exploit

- as reported by Dawid Czarnecki of Zigrin Security on behalf of the Luxembourg Army",An issue was discovered in MISP before 2.4.158. There is XSS in app/Controller/OrganisationsController.php in a situation with a "weird single checkbox page.",ce6bc88e330f5ef50666b149d86c0d94f545f24e,1
1,1,0,0,2,2,4,1,"fix: [security] Password confirmation bypass in user edit

- optional password confirmation can be potentially circumvented
- fooling the user edit via a request that sets accept:application/json whilst posting form content

- as reported by Dawid Czarnecki of Zigrin Security on behalf of the Luxembourg Army","An issue was discovered in MISP before 2.4.158. In UsersController.php, password confirmation can be bypassed via vectors involving an ""Accept: application/json"" header.",01120163a6b4d905029d416e7305575df31df8af,1
1,1,0,0,1,1,2,1,"fix: Fixed a DOM based XSS with cortex type attributes

- as reported by Dawid Czarnecki (dawid@pz.pl)",app/webroot/js/misp.js in MISP 2.4.91 has a DOM based XSS with cortex type attributes.,5efc07b12f82301a6086fd3433fedd69fe7119d3,1
1,1,0,0,11,26,37,0,security fix (#1578),interface\super\edit_list.php in OpenEMR before v5_0_1_1 allows remote authenticated users to execute arbitrary SQL commands via the newlistname parameter.,2a5dd0601e1f616251006d7471997ecd7aaf9651,1
1,1,0,0,21,18,39,3,"fix: [security] xss fix missing part of solution

- the previous fix to the xss in the homepage setter was lacking the controller changes due to a partial commit (#bf4610c947c7dc372c4078f363d2dff6ae0703a8)

  - as originally discovered by Mislav Bo?i?evi? <mislav.bozicevic@nn.cz>
  - persistence of the vulnerability after the lacking fix reported by DIEGO JURADO PALLARES from Ciberinteligencia","A cross-site scripting (XSS) vulnerability exists in MISP v2.4.128 in app/Controller/UserSettingsController.php at SetHomePage() function. Due to a lack of controller validation in ""path"" parameter, an attacker can execute malicious JavaScript code.",b3550b48f30ad9fef86c5b5c664487aaf6f52787,1
1,1,0,0,1,1,2,1,"eliminate heap buffer overflow vulnerability, thanks to ZhangJiaxing (@r0fm1a) from Codesafe Team of Legendsec at Qi'anxin Group","A heap-based buffer overflow vulnerability was found in ImageMagick in versions prior to 7.0.11-14 in ReadTIFFImage() in coders/tiff.c. This issue is due to an incorrect setting of the pixel array size, which can lead to a crash and segmentation fault.",930ff0d1a9bc42925a7856e9ea53f5fc9f318bf3,1
1,1,0,0,6,6,12,0,"fix: Fixed various potential XSS issues in the resolved attributes view

- potentially exposed XSS if a malicious MISP module was loaded on the instance

- as reported by Christophe Vandeplas (@cvandeplas)","In MISP before 2.4.89, app/View/Events/resolved_attributes.ctp has multiple XSS issues via a malicious MISP module.",01924cd948dbceb8391be671dab672e9f4a0ffe8,1
1,1,0,0,1,0,1,1,"fix: critical API integrity bug, potentially allowing users to delete attributes of other events

- a crafted edit for an event (without attribute UUIDs but attribute IDs set) could overwrite an existing attribute","An issue was discovered in app/Model/Attribute.php in MISP before 2.4.89. There is a critical API integrity bug, potentially allowing users to delete attributes of other events. A crafted edit for an event (without attribute UUIDs but attribute IDs set) could overwrite an existing attribute.",37720c38d6c617439df0a13e9396fcb26345dadd,1
0,0,1,0,20,1,21,2,avformat/tty: add probe function,"Prior to ffmpeg version 4.3, the tty demuxer did not have a 'read_probe' function assigned to it. By crafting a legitimate ""ffconcat"" file that references an image, followed by a file the triggers the tty demuxer, the contents of the second file will be copied into the output file verbatim (as long as the `-vcodec copy` option is passed to ffmpeg).",3bce9e9b3ea35c54bacccc793d7da99ea5157532,1
0,0,1,0,5,5,10,1,https://github.com/ImageMagick/ImageMagick/issues/3540,"A vulnerability was found in ImageMagick-7.0.11-5, where executing a crafted file with the convert command, ASAN detects memory leaks.",c6ad94fbb7b280f39c2fbbdc1c140e51b1b466e9,1
